location,day,time,title,presenter,description,field
Main Track 3,Saturday,1:00 PM,Dylib Hijacking on macOS: Dead or Alive?,Patrick Wardle,"Over a decade ago, a much younger Patrick showed that macOS (then OS X) was vulnerable to what had long been considered a Windows-only attack: dynamic library hijacking. By planting malicious libraries in the right place, attackers could achieve stealthy persistence, inject code into trusted processes, and even bypass...",Red Team / Adversary Emulation
Main Track 5,Saturday,1:00 PM,Stalking the Wily Hacker ... 40 years later,Cliff Stoll,"40 years ago today, I tripped over a 75-cent accounting glitch in a Unix system. That tiny clue led to a year-long chase across networks, modem banks, and international borders, ultimately uncovering a crew of German hackers working for the East German Stasi and the Soviet KGB.",Forensics & Incident Response
Creator Stage 1,Saturday,1:30 PM,The Subverted Hacker,"Robert ""zizkill"" Shala","Frontier AI is turning hacker labor into a defensive layer for private infrastructure: systems built on public research, open-source code, security writing, and the technical culture hackers helped create. Yet these systems are controlled by a small number of companies and states, with limited public audit ability or...",Privacy & Policy
Creator Stage 2,Saturday,1:30 PM,Your OpSec Is Showing,"Fae Blu3Bird"" Carlisle","Most threat intelligence focuses on what attackers have already done: payloads, malware families, and post-compromise behavior. But adversaries are far more fluid at the payload layer than they are at the infrastructure layer.",OSINT
Creator Stage 3,Saturday,1:30 PM,"Field Notes on Offensive Agents: Reusability, Reliability, and What Breaks",Dominika Pietrzak; Ibai Castells,"Offensive agents are easy to demo, but much harder to make useful across real adversary emulation work. Key challenges lie in making agents reusable and reliable across different assessment types, tech stacks and doing so, as models, tools, and environments change.",Red Team / Adversary Emulation
Creator Stage 4,Saturday,1:30 PM,FORTRESS Framework,"Brad ""Sno0ose"" Ammerman","As physical security threats increase in sophistication and frequency, organizations face a critical gap in their physical security, the lack of a structured framework for physical security assessments and tests. FORTRESS was designed to fill this need by providing a categorized model of physical Tactics, Techniques,...",Physical Security
Creator Stage 7,Saturday,1:30 PM,Why Mandatory Age Verification Keeps Us All Less Safe,Alexis Hancock; Kenyatta Thomas,EFF speakers argue that mandatory online age-verification laws undermine privacy and security rather than protecting users.,Privacy & Policy
Main Track 2,Saturday,1:30 PM,Bring Your Own Root Of Trust,"Mickey ""@HackingThings"" Shkatov; Jesse Michael","Modern computers depend on a hardware root of trust: a component assumed to start trustworthy and is used to verify everything that follows. This has evolved from ROM boot code and fixed keys into TPMs, secure boot chains, external security controllers, and attestation mechanisms used far beyond disk encryption.",Hardware & Embedded Security
Main Track 4,Saturday,1:30 PM,Transformers: Dark Side of the Type - Weaponizing the Conversion Layer,Oleksandr Mirosh,"In 2017, our DEF CON talk ""Friday the 13th: JSON Attacks"" forced the industry to confront Insecure Deserialization. Developers responded by hardening the configurations of parsers and serializers.",Web/Application Security
Creator Stage 1,Saturday,2:00 PM,OT Round table. Real talk on how to protect your OT spaces,Aaron Crow; Tom VanNorman; Dillon Lee,A hosted open discussion on strategies for protecting OT with Tom Van Norman and Dillon Lee.,ICS/OT Security
Creator Stage 2,Saturday,2:00 PM,What we learned from SATAN about the MYTH of Mythos,Jeff Crume,Thirty years ago a new and powerful (at the time) vulnerability scanner burst onto the scene. SATAN (System Administrators Tool for Analyzing Networkds) sparked controversy by putting advanced network reconnaissance capabilities into the hands of ordinary defenders.,AI/ML Security
Creator Stage 3,Saturday,2:00 PM,Microsoft and Amazon are my Favorite C2 Providers,Robert Pimentel,"Cloud relay services are the perfect C2 infrastructure, and most organizations cannot block them without breaking legitimate business operations. This talk presents a comprehensive offensive analysis of three abuse vectors across Microsoft Azure and Amazon Web Services, weaponizing cloud services that enterprises...",Red Team / Adversary Emulation
Creator Stage 4,Saturday,2:00 PM,Clone to Pwn: Remote Badge Cloning with the Flipper Zero,Langston Clement; Dan Goga,Traditional RFID badge cloning methods require you to be within 3 feet of your target. So how can you conduct a physical penetration test and clone a badge without interacting with a person?,Physical Security
Creator Stage 5,Saturday,2:00 PM,Racing PX4: Memory Safety and Timing Vulnerabilities,Nefeli Georgilas,"Commercial off-the-shelf autonomous vehicles range from self-driving trucks to military-grade drones. These systems commonly use the PX4 Autopilot flight stack for flight control, navigation, and telemetry.",Aerospace & Satellite Security
Creator Stage 6,Saturday,2:00 PM,Forget FIPS: An Analysis of Russian and Chinese Cryptographic Standards,1nfocalypse,"Despite securing the connections of over a billion people, Russian and Chinese state cryptography often remains unfamiliar to western practitioners. We survey the GOST, ShangMi, and ZUC standards, their respective histories, designs, and the current academic understandings of their security.",Cryptography & Privacy
Main Track 1,Saturday,2:00 PM,"Lights Out: Out-of-Band, Out of Mind, Out of Control","HD ""hdm"" Moore","Every enterprise server has a second computer you probably forgot about. The baseboard management controller runs its own OS, has its own network stack, and stays on even when the server is off.",Hardware & Embedded Security
Main Track 3,Saturday,2:00 PM,The Enclave is Lying to You: Breaking TEE Trust Boundaries Through Boot-Time State,"Sandeep ""pyro"" Jayashankar","Confidential computing on cloud TEEs: Nitro Enclaves, SEV-SNP, and TDX promises that a fully compromised host cannot reach into a hardware-isolated enclave. The cryptographic attestation story holds.",Cloud Security
Main Track 5,Saturday,2:00 PM,"Cracking North Korea's Information Control: How Smugglers, Defectors, and Technologists are Breaking Open the World's Most Locked-Down Information System",JDT,"North Korea operates the world's most extreme digital environment. Its custom Android OS enforces an ""allowlist"" ecosystem where media and apps require state-issued cryptographic signatures to run, while background daemons capture secret screenshots to log ""illegal"" activity.",Privacy & Policy
Creator Stage 2,Saturday,2:30 PM,That's Not Your Agent: Why Zero Trust Can't Tell,Krity Kharbanda; Emma Yuan Fang,"What happens when every request is authenticated, every permission is scoped, every action logged, and the breach still happens without a single alert? Zero Trust has been widely adopted to secure environments through continuous authentication and verification.",AI/ML Security
Creator Stage 3,Saturday,2:30 PM,UAiRT: Over The Air UART,Metehan Arslan; Samet Berk Simsek,"The industry relies heavily on zero-trust architectures, TLS tunneling, and WAN monitoring to secure ISP edge gateways. But what happens when the compromise is soldered directly to the motherboard?",IoT Security
Creator Stage 5,Saturday,2:30 PM,Hacking AFDX or Not; A Primer for Flight Control Systems Security,Andrew Tierney; Adam Bromiley,"One of the challenges of independent airplane cyber research is the lack of availability of recent hardware; avionics, LRUs and anything from the aircraft control domain is insanely expensive, even when used. Access to retired airframes therefore represents the state of the art from 20+ years ago.",Aerospace & Satellite Security
Main Track 2,Saturday,2:30 PM,Bird Hunting Season: The Final Flight,"Jon ""GainSec"" Gaines","Surveillance tech often operates as a ""black box"" burdened by systemic technical debt. This session is the capstone of ""Bird Hunting Season,"" an independent, self-funded teardown and research of the Flock Safety ecosystem.",Privacy & Policy
Main Track 4,Saturday,2:30 PM,Looking and Peering: Attacking from beyond BGP Adjacency,"Bo-Shiun ""bronson113"" Yen","Shows how BGP route misconfigurations and attacks can be launched from beyond direct peering adjacency, despite hardening efforts like BGPsec and RPKI.",Network Security
Creator Stage 1,Saturday,2:45 PM,Give an AI Industrial Protocol Tools and Watch What It Destroys,Malav Vyas; Asher Davila,"Every major ICS attack of the last decade succeeded not because of software vulnerabilities, but because industrial protocols were built to trust any packet on the wire. The village has read the incident reports.",ICS/OT Security
Creator Stage 4,Saturday,3:00 PM,AIRGAP BREACHED: Monitoring the Ancestral Payload Leaking from the Poles,David J. Castillo-Cornejo; Matthew Woslum; Zee Zinck,"A frugal, eDNA sniffing system to audit atmospheric biodata-leaks in the era of Climate change. Current healthcare cybersecurity focuses on device access, ignoring the fundamental vulnerability: the environmental air gap is closing.",Medical Device Security
Creator Stage 5,Saturday,3:00 PM,The Agent Long Con: Tricking Agents Out of Their Data,Patrick Walsh,"Continuously running AI agents like OpenClaw are everywhere now and they're connected to everything. And despite all the doomposting, they're mostly unhacked.",AI/ML Security
Creator Stage 6,Saturday,3:00 PM,There's A Bug in My Boot! Finding Vulnerabilities in U-Boot,Jared Stroud,Bootloaders underpin the security of modern embedded systems. Their privileged position in the tech stack often means a vulnerability early in the boot process can result in total system compromise.,Hardware & Embedded Security
Main Track 1,Saturday,3:00 PM,Throw Out the Alphabet: Token-Based Markov Chains for Password Cracking,"Jon ""flakpaket"" Gorenflo","Classical Markov password generators work over the character alphabet: hashcat's Markov masks, JtR's --markov, OMEN, even neural models like PassGPT. We change one thing: the alphabet.",Red Team / Adversary Emulation
Main Track 3,Saturday,3:00 PM,"Get Set, Exploit! Unveiling Python Class Pollution In-the-Wild",Gavin Zhong; Zhengyu Liu; Jianjia Yu,"Python is widely used in LLM applications and agent frameworks. Its ease of use comes from two core features: a uniform object model and dynamic reflection, which unfortunately also enable an emerging vulnerability class: Python class pollution.",Web/Application Security
Main Track 5,Saturday,3:00 PM,"Smile, you're on camera! Livestreaming from North Korea's IT workers laptop farm",Heiner García; Mauro Eldritch,"We infiltrated a cell of North Korean IT workers dedicated to obtaining remote employment for the DPRK, attributed to Famous Chollima (Lazarus Group). Posing as facilitators, we went through their full recruitment process and, once inside, provided them with controlled environments that allowed us to observe and...",OSINT
Creator Stage 3,Saturday,3:15 PM,Beyond Your Bookshelf: Hackable eReaders,Katie Paxton-Fear,"Kindles, Kobos, Boox and BigMes there's no shortage of eReaders to choose from in 2026, with their paper-like eInk displays designed for one thing: reading books. But under the surface of these minimalist devices is a surprisingly hackable device.",IoT Security
Creator Stage 1,Saturday,3:30 PM,The Compiler Nobody Satisfactorily Tested: Supply-Chain Gaps in EV Charging Firmware,Kangwon Lee,Someone installed Doom on a supercharger at Pwn2Own Automotive 2026 - via an out-of-bounds write in firmware compiled by a compiler nobody verified. This talk connects the dots between Pwn2Own exploit classes and the upstream problem: most automotive and EVSE compilers have never been independently tested against...,Automotive Security
Creator Stage 2,Saturday,3:30 PM,"Cl0p ^_- Til You Drop - 6 years, 9 Campaigns, 7 0-Days",Eli Woodward,"Cl0p has executed at least nine major exploitation campaigns since 2020, targeting file transfer and edge devices from Accellion to MOVEit to Centrestack. Each campaign looks different on the surface, different CVEs, different victims, different tooling.",Malware & Threat Intelligence
Creator Stage 4,Saturday,3:30 PM,DarkSyringe: Automated poisoning of Clinical AI Assistants Through PDFs (a physician's point of view),Francesco Costa,"Doctors are burned out and turning to LLMs - uploading discharge letters, lab reports and papers into ChatGPT, Claude and clinical AI tools. Every PDF is an unvalidated input to a system that cannot tell real facts from injected lies.",AI/ML Security
Main Track 2,Saturday,3:30 PM,Zero-Day Provisioning: Chaining TP-Link ZTP Vulnerabilities for Infiltrating Networks,Francesco La Spina; Stanislav Dashevskyi,"Today network equipment vendors offer Zero-Touch Provisioning (ZTP) for configuring devices with little-to-no manual intervention. However, it is often taken for granted that that the networking protocols used in ZTP are secure.",Network Security
Main Track 4,Saturday,3:30 PM,Wrestling with a Python: Escaping Copilot Studio's AI-Guarded Sandbox,Ryan Hausknecht; Simon Maxwell-Stewart,"Microsoft Copilot Studio lets anyone build AI agents that execute Python. Behind the scenes, that code runs in a Windows container on Azure Service Fabric, wrapped in a Python sandbox and guarded by a GPT-4.1 mini model that decides what's safe to run.",AI/ML Security
Creator Stage 1,Saturday,4:00 PM,"Free IP, Free Chaos: DHCP-Assisted Flooding Against Automotive Ethernet",Yehyeong Lee,"Modern vehicles are increasingly adopting Automotive Ethernet for UDS-based diagnostics instead of CAN. While Gateway ECUs are designed to restrict communication to specific IPs, some support DHCP to facilitate communication with diagnostic tools.",Automotive Security
Creator Stage 2,Saturday,4:00 PM,Shipcrawler: Automated Maritime OSINT - From Open Data to Actionable Intelligence,Ahmed Nagi Nasr,"The maritime sector leaks an enormous amount of sensitive information through public sources - crew social media, vessel tracking data, port records, corporate registries, and leaked credentials. Shipcrawler is an open-source automated OSINT tool that aggregates, correlates, and reports on vessel, crew, company, and...",Maritime Security
Creator Stage 3,Saturday,4:00 PM,"Quantum-Ready or Not: What 1,000 Codebases Reveal About Cryptographic Risk",Dr. Zulfikar Ramzan,"Many people are aware of the quantum threat to cryptography, but how extensive is this issue? We analyzed 1,000 high-profile open-source repositories, including OpenVPN, Curl, and Bitcoin, and found that cryptographic risk is pervasive and hidden. 94% of repositories contain at least one cryptographic issue that would...",Cryptography & Privacy
Creator Stage 4,Saturday,4:00 PM,Zero-Knowledge Unsaflok: The Unsaflok Saga Continues,Ben Higgins; Aaron Tulino,"Continuing the legacy of the previous two Unsaflok research teams, we expanded the original Unsaflok attack to a zero-knowledge exploit by mimicking the HH6 maintenance unit's lock interrogation protocol. The HH6 is normally used by hotel staff to diagnose lock errors and problems, but it also has the capability to...",Physical Security
Creator Stage 5,Saturday,4:00 PM,Breaking Ciphers and Zero-Knowledge Proofs,"Luke Szramowski; Diego ""rehrar"" Salazar; Rigo Salazar","Zero-knowledge proofs are a method of demonstrating that a statement is true, without revealing any other information about it, and form the backbone of all the cryptocurrencies we know and love. In this workshop, we will unpack what zero-knowledge proofs really are, how they work, and what they do to ensure that your...",Blockchain/Cryptocurrency
Creator Stage 6,Saturday,4:00 PM,"Why Couldn't I See My Own Drone? Remote ID, ESP32s, and the Packet Trail to Friend or Foe",Will Hatzer; Charles Grow,"Friend or Foe started when adding Remote ID support to an Android airspace app still failed to detect our own DJI drone. This led us into DJI Wi-Fi Beacon behavior, vendor information elements, ESP32 promiscuous capture, and conservative evidence handling using Bayesian fusion.",RF & Wireless Security
Main Track 1,Saturday,4:00 PM,Hacking Your Life with AI Can Get You Hacked: How AI Orchestration Platforms Ship RCE by Design,"Peyton ""p80n-sec"" Kennedy","Surveys RCE vulnerabilities found across popular AI orchestration platforms (Kestra, Langflow, Flowise, Apache Airflow, etc.) that have quietly become critical automation infrastructure.",AI/ML Security
Main Track 3,Saturday,4:00 PM,Install Me Maybe: Turning Claimable VS Code Extension IDs into Supply-Chain Attacks,"Raphael ""rcss"" Silva","Developer tools trust extension identifiers way more than they should. A VS Code extension ID like publisher.extension shows up everywhere a dev environment gets set up, and people treat it as the same trusted thing no matter where it's resolved, but it isn't.",Supply Chain Security
Main Track 5,Saturday,4:00 PM,The Compiler That Can't Read: Crashing Every 5G Phone With One Byte,Qiqing Huang; Xingyu Wang,"Every 5G phone parses radio messages using code generated by a compiler. That compiler has two blind spots - and we used them to crash iPhones, Pixels, and phones from every major chipset vendor.",Mobile Security
Creator Stage 1,Saturday,4:30 PM,Trust Amplification in Enterprise AI Systems - Microsoft CoPilot Case Studies Enabling AI-Assisted Influence Operations,Tobias Diehl,"Enterprise AI assistants such as Microsoft Copilot are rapidly becoming embedded in business workflows, granting them unprecedented influence over how users discover information, make decisions, and interact with organizational data. While much of the current security discussion focuses on prompt injection itself, the...",AI/ML Security
Creator Stage 2,Saturday,4:30 PM,LSTM Autoencoder Ensemble for NMEA 2000 Intrusion Detection on Vessel Networks,Anissa Elias; James Campbell,"Maritime vessels increasingly depend on NMEA 2000 (CAN bus) networks to interconnect navigation, propulsion, and safety-critical systems, yet the underlying protocol provides no authentication, any device can transmit any message ID. As maritime cyber incidents such as GPS spoofing, engine manipulation, and AIS...",Maritime Security
Creator Stage 3,Saturday,4:30 PM,Weaponization of Cellular Based IoT Technology - Leveraging Smart Devices to Gain a Foothold,Carlota Bindner; Deral Heiland,"As IoT devices continue to integrate cellular technologies for communication, the potential risk for adversaries to weaponize the hardware's trust relationship and gain access to critical backend infrastructure grows exponentially. During this talk, we will present our research focused on how built-in cellular...",IoT Security
Main Track 2,Saturday,4:30 PM,How much of our Bluetooth firmware reverse engineering work can now be automated with LLMs?,Veronica Kovah; Xeno Kovah,"Last year Xeno manually reverse-engineered Realtek RTL8761B* Bluetooth chips' ROM & firmware, to inject code into them that allows everyone to send custom packets that aren't supposed to be possible on a well-behaved device. Previous to that Veronica manually reverse-engineered multiple firmware to find link layer...",Hardware & Embedded Security
Main Track 4,Saturday,4:30 PM,Taming the Swarm: Hard Architectural Lessons from Building a Deterministic Agentic Web Pentesting System,"Albert ""yz9yt"" Corzo","Most agentic systems for offensive security boast impressive benchmarks while hiding the real cost, the real time, and the architectural pain behind them. Many remain closed-source, sacrificing the transparency security demands.After 20 years as an offensive security researcher, I spent the last 10 months distilling...",AI/ML Security
Creator Stage 1,Saturday,5:00 PM,AI Safety Theater: What the RAISE Act Regulates - and What It Does Not,Joshua Marpet,"New York's RAISE Act is among the most significant state AI safety laws in the country. Signed December 19, 2025, it imposes transparency requirements, safety plans, 72-hour incident reporting, and annual audits on frontier AI developers.",Privacy & Policy
Creator Stage 2,Saturday,5:00 PM,"CyberKB: When Your AI Copilot Runs the Recon, Crawls the Dark Web, and Maps the Kill Chain",Suriya Prasath S; Chandru J; Muthu Kumar,"What if your recon tool could understand ""find leaked credentials for this company on the dark web, cross-reference with their exposed infrastructure, and show me the attack path"" - and then actually do it, autonomously, with zero manual commands? CyberKB is a 214,000-line open platform that puts an AI copilot (Keke)...",OSINT
Creator Stage 4,Saturday,5:00 PM,The National Fight Against ALPRs,Freddy Martinez; Sarah,Privacy advocates from EFF and Lucy Parsons Labs discuss organizing efforts against automated license plate reader (ALPR) surveillance.,Privacy & Policy
Creator Stage 5,Saturday,5:00 PM,Behind the Badge: SAOv3 and Open Sourcing the Aerospace Village Badge,Adam Batori; Kevin Colley; Robert Pafford; Lillian Ash Baker,"The Rare Circuits team decided this was the year to take all our hard work on last year's Aerospace Village Radio SAO and open source the useful components for the Badge Maker Community. We took the tight communication integration between badge and Add-on to create SAOv3, a new SAO standard that puts connectivity...",Hardware & Embedded Security
Creator Stage 6,Saturday,5:00 PM,Ghost Followers: Using AI to Unmask Fake LinkedIn Profiles at Scale,Aiswarya Venkitesh,"LinkedIn hosts over 1 billion profiles and a growing number are fake. From AI-generated profile photos to synthetic work histories, adversaries use fake identities for spear-phishing, social engineering, and influence operations.",OSINT
Main Track 1,Saturday,5:00 PM,High Voltage Heist: Turning Your EV into my Power Bank,Fabien Guillebot; Stepan Konicek,"Ever found yourself with a dead phone battery in a Walmart parking lot? What if we told you that you could walk up to a parked EV and charge your phone directly from its traction battery - no authorization, no keys, and no official V2L features required.",Automotive Security
Main Track 3,Saturday,5:00 PM,CRLF-Powered Desync Attacks: Beheading HTTP streams,"Tom ""t0xodile"" Stacey; Tobia ""mastersplinter"" Righi","Have you ever discovered a header injection vulnerability and settled for little more than an open redirect or XSS? In this session, we introduce a battle-tested ""header injection"" powered desync methodology, enabling you to perform HTTP request smuggling attacks against even strictly RFC-compliant proxy chains.",Web/Application Security
Main Track 5,Saturday,5:00 PM,OffGuard: Breaking the Most Popular AI Gateway from Auth Bypass to Cloud Compromise,Yaara Shriki,"LiteLLM is the most popular open-source AI gateway, deployed across a third of cloud environments. Organizations route all their LLM traffic through it, trusting it with API keys for every provider, every prompt and response, and connections to external tools via MCP.",AI/ML Security
Creator Stage 1,Saturday,5:30 PM,SADF: A Taxonomy and Evaluation Framework for Agentic Security Failures,Julie Brunias,"Emerging agentic systems operate across attack surfaces that existing security evaluations were not designed to measure: external tools, persistent memory, retrieval pipelines, delegated credentials, and multi-agent orchestration. Most agent security benchmarks measure success using substring matching - checking...",AI/ML Security
Creator Stage 2,Saturday,5:30 PM,There Is No Internet: Cross-Domain Recon of all 4.3 Billion IPv4s,John McCary,"Describes scanning and collecting public records for every IPv4 address on the internet twice, to build cross-domain reconnaissance datasets beyond typical threat intel sources.",OSINT
Creator Stage 3,Saturday,5:30 PM,Total Recon: How We Discovered 1000s of open Agents in The Wild,Avishai Efrat; Roey Ben Chaim,"AI agents quietly created a new external attack surface: copilots, custom agents, AI cakends and various deployments that ship to the internet, often without anyone realizing they are reachable, enumerable, or over-permissive. In this talk, we'll show how attackers can already find your agents in the wild, shedding...",OSINT
Creator Stage 5,Saturday,5:30 PM,"SpaceCOP: Houston, We Have an Intrusion",Brandon Bailey,"Spacecraft are no longer isolated boxes with radios. They are networked, software-defined, mission-critical systems operating in an environment where patching is hard, visibility is limited, and failure can look a lot like an attack.",Aerospace & Satellite Security
Main Track 2,Saturday,5:30 PM,TEE.fail: Breaking Trusted Execution Environments via DDR5 Memory Bus Interposition,Daniel Genkin; Jalen Chuang,"Trusted execution environments (TEEs) aim to offer strong privacy and integrity guarantees even in the presence of root level attackers. Recently there has been a pivotal shift in TEE deployment, moving TEEs from enclaves running on PC-oriented hardware to confidential virtual machines executing on server-grade CPUs.",Hardware & Embedded Security
Main Track 4,Saturday,5:30 PM,"DEF CON Franklin: What worked, what didn't, and how we are giving agency to water utilities at the top of every bad guy's target list because of data centers",Jake Braun,"How did DEF CON Franklin's cyber volunteers helped American water systems become more secure as they rise to the top of adversaries' target lists? This talk by Franklin co-founder Jake Braun will outline the program, share success stories from volunteer engagements, and discuss lessons learned from the past year of...",ICS/OT Security
Creator Stage 1,Sunday,10:00 AM,Five Million Industrial Control Systems Walk Into a Bar: What IRONMAP Found When It Scanned the Whole Internet,Matt Caldwell,"What does the global attack surface of operational technology actually look like at internet scale? We built IRONMAP, a purpose-built OT/ICS intelligence platform, to find out - and the answer is both larger and more disturbing than we expected.",ICS/OT Security
Creator Stage 2,Sunday,10:00 AM,Ghost in the Hiring Machine: How to Spot Fake Personas Before They're on Your Payroll,"Michael Reimsbach; Rishi ""rxerium"" C","People are getting hired and trusted every day. Some of them do not exist at all, yet they still pass interviews, collect paychecks, and gain access to sensitive systems.",OSINT
Creator Stage 3,Sunday,10:00 AM,"You Can't Opt Out: The Invisible Surveillance in Your Walls, Pockets, and Lives",Naomi Brockwell,"Surveillance is baked into the very fabric of our digital existence. From smart homes to smart cars, and now we drive down streets with smart cameras tracking our every move.",Privacy & Policy
Creator Stage 4,Sunday,10:00 AM,"Breaking In, Evil Style: A Guide to Scaring Your CEO",Andrew Lebedinsky,"You've cloned the keycards, you've bypassed the locks, and you've gotten into the building. Now what?",Physical Security
Creator Stage 5,Sunday,10:00 AM,A Billion-User Blast Radius: Owning ChatGPT's Secure Sandbox,Simcha Kosman,"OpenAI designed ChatGPT's container sandbox as a secure runtime environment, enforcing full network isolation, strict execution timeouts, and an AI supervisor to filter every command. Under this model, owning the container and extracting sensitive data seemed impossible.",AI/ML Security
Creator Stage 6,Sunday,10:00 AM,Skill Issue: A Recon Story,Ryan Bonner,"For ten years we told every hunter the same thing: learn the bug classes, grind the labs, memorize the payloads. It built a generation of hackers, and the perfect training set.",Bug Bounty / Vulnerability Research
Creator Stage 7,Sunday,10:00 AM,Lessons Learned from Building a New DEF CON Group presented by DC724,"Cliff ""GritsnGravy"" Friedel; Joe ""jbohack""","Building a new DEF CON Group comes with a lot of trial, error, and unexpected lessons. DC724 will share real-world experience from the early stages of growing a newer group, including finding space, building relationships, coordinating with other communities, avoiding common mistakes, and creating momentum.",Community/Keynote
Main Track 1,Sunday,10:00 AM,ESP32 as a counter-surveillance platform,"Cooper ""Cybertiger"" Quintin; Colonel Panic; The Wrew","Privacy should be accessible to all. Historically, counter-surveillance tools have been expensive, complex, and inaccessible to most individuals, often limited to well-funded researchers and costly hardware configurations.",Hardware & Embedded Security
Main Track 2,Sunday,10:00 AM,This Message Was Sent by Microsoft: Turning Microsoft Apps into our Phishing Platform,"Keanu ""RedByte"" Nys","Last DEF CON, we stole cleartext credentials directly from the real Microsoft login page. This year, we take it a step further by making Microsoft deliver our phishing emails!",Red Team / Adversary Emulation
Main Track 3,Sunday,10:00 AM,No Prompt Required: Pre-Task RCE in Google Gemini CLI,Elad Meged,"Security research on AI agents starts at the prompt boundary - injection, jailbreaking, guardrails. This talk starts earlier.",AI/ML Security
Main Track 4,Sunday,10:00 AM,Going the Distance: Long-Range Keystroke Injection via Meshtastic,"Benito ""paperclipsvinny"" Sauceda","What if your keystroke injection implant could be triggered from kilometers away, through walls, without WiFi, cellular, or line-of-sight? What if the entire Meshtastic network relayed your commands for you?",RF & Wireless Security
Main Track 5,Sunday,10:00 AM,Shepherding the Tor network,"Roger ""arma"" Dingledine",The Tor network has been continuously operating for close to 25 years now. How have the attacks changed over that time?,Privacy & Policy
Creator Stage 1,Sunday,10:30 AM,Unlocking Vehicles by Brute-Forcing Rolling Code Systems,Danilo Erazo,"Many vehicles worldwide rely on a popular aftermarket rolling code system that has long been trusted to protect against key fob cloning and unauthorized access. This talk unveils the reverse engineering journey that uncovered the protocol's frame format, cryptographic design, and previously undocumented weaknesses.",Automotive Security
Creator Stage 4,Sunday,10:30 AM,Wand Protocol: Full-Chain Attack on an FDA-Listed Fertility Analyzer,Gigi Xiaoqing Liu,"This year's BHV theme is access. This talk is about what happens when access is granted to everyone who should not have it, and about what happens to patient data once it leaves the device.",Medical Device Security
Creator Stage 6,Sunday,10:30 AM,"Slop Spotting, Using Rules to Detect AI Slop for Bug Bounty",Katie Paxton-Fear; Max vonBlankenburg,"curl ended its HackerOne programme in January 2026 after a steep rise in AI-generated reports overwhelmed a seven-person security team, with some weeks seeing seven reports in sixteen hours, none valid. They were all AI generated; referencing lines of code, real vulnerabilities, and regression of resolved CVEs, they...",Bug Bounty / Vulnerability Research
Creator Stage 7,Sunday,10:30 AM,The Enshittified Internet and How We Can All Rewild the Internet,LambdaCalculus,"The Internet was once a place where people could talk, share ideas and knowledge, express themselves with personal websites, build communities, and more. In recent years, however, we have seen that magic fade away, as the internet of today is now a toxic cesspool of social media controlled by Big Tech, ads thrown...",Privacy & Policy
Main Track 3,Sunday,10:30 AM,Gotta Phish 'Em All! Novel Attack Techniques via Persistent Browser-in-the-Middle,"Giacomo ""GiacoLenzo2109"" Lenzini","Browser-in-the-Middle (BitM) phishing is no longer just a research curiosity. Since its 2021 formalization, BitM has been cataloged by MITRE as an official attack pattern, recognized as a severe threat to MFA-protected web applications.",Red Team / Adversary Emulation
Main Track 4,Sunday,10:30 AM,Reversing a Recall: From 'Noise Triggered' to RCE,Ben Gardiner,"Heavy-duty trucks move the majority of freight in North America, making them a critical component of our infrastructure. When a major supplier issued a recall to address a seemingly harmless noise issue, the explanation didn't quite add up.",Automotive Security
Creator Stage 2,Sunday,10:45 AM,Living Off Someone Else's Inference,Redon Gashi; Armend Gashi,"LLM-powered tooling is becoming a force multiplier for attackers, from reconnaissance automation to post-exploitation enumeration. Using their own API keys creates attribution and cost, so they look for alternatives.",OSINT
Creator Stage 1,Sunday,11:00 AM,Is Your Fridge Running? Then You Better Catch It - State of Security in Refrigeration Systems,Amir Zaltzman,"Much of modern life depends on cooling systems, from keeping food fresh in grocery stores to storing life-saving medicine. At their core, refrigeration controllers manage the entire process, coordinating field controllers directly connected to the refrigeration components like compressors, fans etc.",ICS/OT Security
Creator Stage 3,Sunday,11:00 AM,Beyond the Hype: The Real Role of Red Teams in an AI World,Michael Leibowitz; Niranjanaa Ragupathy,"Red Teaming is about thinking and acting like an attacker to improve an organization's defenses. In practice, it is less about flashy exploits and more about providing prioritization signals, validating and improving detection capabilities, and telling compelling stories that drive meaningful security outcomes.",Red Team / Adversary Emulation
Creator Stage 4,Sunday,11:00 AM,Physical Security is not sexy which is bad for organizations and good for red teams.,Roger Egan,"With digital security tools continually becoming stronger, organizations often overlook their physical security as part of their operational security. Often, many organizations rely on their security integrators to secure the building.",Physical Security
Creator Stage 5,Sunday,11:00 AM,Cryptocurrency Closing Keynote,"Michael ""MsvB"" Schloh; Diego ""rehrar"" Salazar","Closing the Cryptocurrency areas at DEFCON, we introduce everyone at work and their achievements during the event. We review our four major activities including the hackathon, contests, workshops, and capture the flag competition.",Community/Keynote
Creator Stage 6,Sunday,11:00 AM,Cove: Compositional and Verifiable Confidential Computing Workflows,Stephanie; Robin; Erika Lee,"Confidential computing systems involve computation over private inputs held by mutually distrusting parties while producing public, cryptographically verifiable evidence of what was computed. Trusted execution environments (TEEs) are a practical building block for these systems, enabling code to run inside...",Cryptography & Privacy
Creator Stage 7,Sunday,11:00 AM,The State of DEF CON Groups,Alethe Denis; Magen Wu,"DEF CON Groups has grown into a global network of hundreds of local communities, connecting hackers, makers, students, educators, and professionals around the world. Join the department leadership for an inside look at where the community stands today, what we've accomplished over the past year, and where we're headed...",Community/Keynote
